Plot,Forest Type,Site Characteristics,Species,Percent Cover
Holly 2,Coniferus,"Damp environment, flat.",Trailing Blackberry,25
Holly 2,Coniferus,"Damp environment, flat.",Spiny Wood Fern,10
Holly 2,Coniferus,"Damp environment, flat.",Salal,5
Holly 2,Coniferus,"Damp environment, flat.",Wall Lettuce,8
Holly 2,Coniferus,"Damp environment, flat.",Sword Fern,0
Holly 2,Coniferus,"Damp environment, flat.",Deer Fern,0
Holly 2,Coniferus,"Damp environment, flat.",Huckleberry,8
Holly 2,Coniferus,"Damp environment, flat.",Species 2,25
Holly 2,Coniferus,"Damp environment, flat.",Sugar-scoop,4
Holly 2,Coniferus,"Damp environment, flat.",Salmon Berry,0
Holly 2,Coniferus,"Damp environment, flat.",Alderberry,0
Holly 2,Coniferus,"Damp environment, flat.",Herb Robert,0
Holly 2,Coniferus,"Damp environment, flat.",Large-leaved avens,0
Holly 2,Coniferus,"Damp environment, flat.",Creeping buttercup,0
Holly 2,Coniferus,"Damp environment, flat.",Oregon grape,0
Holly 2,Coniferus,"Damp environment, flat.",Common snowberry,0
Holly 2,Coniferus,"Damp environment, flat.",Tall Fescue,0
Holly 2,Coniferus,"Damp environment, flat.",Cherry Laurel,0
Holly 2,Coniferus,"Damp environment, flat.",Mosses,90
Holly 2 Control,Coniferus,"Damp environment, flat.",English Holly,0
Holly 2 Control,Coniferus,"Damp environment, flat.",English Ivy,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Trailing Blackberry,20
Holly 2 Control,Coniferus,"Damp environment, flat.",Spiny Wood Fern,30
Holly 2 Control,Coniferus,"Damp environment, flat.",Salal,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Wall Lettuce,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Sword Fern,1
Holly 2 Control,Coniferus,"Damp environment, flat.",Deer Fern,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Huckleberry,3
Holly 2 Control,Coniferus,"Damp environment, flat.",Species 2,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Sugar-scoop,3
Holly 2 Control,Coniferus,"Damp environment, flat.",Salmon Berry,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Alderberry,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Herb Robert,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Large-leaved avens,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Creeping buttercup,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Oregon grape,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Common snowberry,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Tall Fescue,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Cherry Laurel,0
Holly 2 Control,Coniferus,"Damp environment, flat.",Mosses,60
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",English Holly,10
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",English Ivy,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Trailing Blackberry,10
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Spiny Wood Fern,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Salal,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Wall Lettuce,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Sword Fern,40
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Deer Fern,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Huckleberry,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Species 2,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Sugar-scoop,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Salmon Berry,50
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Alderberry,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Herb Robert,3
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Large-leaved avens,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Creeping buttercup,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Oregon grape,10
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Common snowberry,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Tall Fescue,0
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Cherry Laurel,3
Holly 3,Deciduous,"Gradual slope, low side South. Creek directly next to site. Raining day of data collection.",Mosses,20
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,English Holly,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,English Ivy,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Trailing Blackberry,30
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Spiny Wood Fern,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Salal,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Wall Lettuce,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Sword Fern,5
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Deer Fern,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Huckleberry,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Species 2,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Sugar-scoop,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Salmon Berry,60
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Alderberry,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Herb Robert,5
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Large-leaved avens,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Creeping buttercup,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Oregon grape,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Common snowberry,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Tall Fescue,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Cherry Laurel,0
Holly 3 Control,Deciduous,Flat. Standing water directly next to site. Raining day of data collection.,Mosses,60
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,English Holly,3
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,English Ivy,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Trailing Blackberry,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Spiny Wood Fern,15
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Salal,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Wall Lettuce,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Sword Fern,2
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Deer Fern,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Huckleberry,1
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Species 2,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Sugar-scoop,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Salmon Berry,3
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Alderberry,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Herb Robert,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Large-leaved avens,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Creeping buttercup,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Oregon grape,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Common snowberry,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Tall Fescue,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Cherry Laurel,0
Holly 4,Deciduous,High precipitation during data collection. Moist environment. Some standing water in site.,Mosses,50
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,English Holly,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,English Ivy,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Trailing Blackberry,2
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Spiny Wood Fern,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Salal,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Wall Lettuce,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Sword Fern,12
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Deer Fern,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Huckleberry,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Species 2,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Sugar-scoop,5
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Salmon Berry,30
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Alderberry,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Herb Robert,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Large-leaved avens,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Creeping buttercup,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Oregon grape,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Common snowberry,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Tall Fescue,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Cherry Laurel,0
Holly 4 Control,Deciduous,High precipitation during data collection. Moist environment.,Mosses,10
