plot_id,forest_type,species,percent_cover
Ivy 3 Control,Deciduous,salmon_berry,25
Ivy 3 Control,Deciduous,alderberry,0
Ivy 3 Control,Deciduous,herb_robert,12
Ivy 3 Control,Deciduous,large_leaved_avens,0
Ivy 3 Control,Deciduous,creeping_buttercup,20
Ivy 3 Control,Deciduous,oregon_grape,0
Ivy 3 Control,Deciduous,common_snowberry,0
Ivy 3 Control,Deciduous,tall_fescue,0
Ivy 3 Control,Deciduous,cherry_laurel,0
Ivy 3 Control,Deciduous,mosses,25
Ivy 4,Deciduous,english_holly,0
Ivy 4,Deciduous,english_ivy,90
Ivy 4,Deciduous,trailing_blackberry,5
Ivy 4,Deciduous,spiny_wood_fern,0
Ivy 4,Deciduous,salal,0
Ivy 4,Deciduous,wall_lettuce,0
Ivy 4,Deciduous,sword_fern,25
Ivy 4,Deciduous,deer_fern,0
Ivy 4,Deciduous,huckleberry,0
Ivy 4,Deciduous,species2,0
Ivy 4,Deciduous,sugar_scoop,0
Ivy 4,Deciduous,salmon_berry,0
Ivy 4,Deciduous,alderberry,0
Ivy 4,Deciduous,herb_robert,1
Ivy 4,Deciduous,large_leaved_avens,0
Ivy 4,Deciduous,creeping_buttercup,0
Ivy 4,Deciduous,oregon_grape,0
Ivy 4,Deciduous,common_snowberry,0
Ivy 4,Deciduous,tall_fescue,0
Ivy 4,Deciduous,cherry_laurel,0
Ivy 4,Deciduous,mosses,3
Ivy 4 Control,Deciduous,english_holly,0
Ivy 4 Control,Deciduous,english_ivy,0
Ivy 4 Control,Deciduous,trailing_blackberry,40
Ivy 4 Control,Deciduous,spiny_wood_fern,0
Ivy 4 Control,Deciduous,salal,0
Ivy 4 Control,Deciduous,wall_lettuce,0
Ivy 4 Control,Deciduous,sword_fern,40
Ivy 4 Control,Deciduous,deer_fern,0
Ivy 4 Control,Deciduous,huckleberry,0
Ivy 4 Control,Deciduous,species2,0
Ivy 4 Control,Deciduous,sugar_scoop,0
Ivy 4 Control,Deciduous,salmon_berry,15
Ivy 4 Control,Deciduous,alderberry,0
Ivy 4 Control,Deciduous,herb_robert,5
Ivy 4 Control,Deciduous,large_leaved_avens,0
Ivy 4 Control,Deciduous,creeping_buttercup,0
Ivy 4 Control,Deciduous,oregon_grape,10
Ivy 4 Control,Deciduous,common_snowberry,5
Ivy 4 Control,Deciduous,tall_fescue,2
Ivy 4 Control,Deciduous,cherry_laurel,7
Ivy 4 Control,Deciduous,mosses,20
