Plot,Forest Type,Site Characteristics,Species,Percent Cover
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Deer Fern,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Huckleberry,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Species 2,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Sugar-scoop,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Salmon Berry,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Alderberry,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Herb Robert,1
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Large-leaved avens,4
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Creeping buttercup,75
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Oregon grape,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Common snowberry,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Tall Fescue,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Cherry Laurel,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Mosses,35
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,English Holly,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,English Ivy,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Trailing Blackberry,50
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Spiny Wood Fern,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Salal,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Wall Lettuce,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Sword Fern,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Deer Fern,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Huckleberry,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Species 2,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Sugar-scoop,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Salmon Berry,25
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Alderberry,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Herb Robert,12
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Large-leaved avens,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Creeping buttercup,20
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Oregon grape,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Common snowberry,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Tall Fescue,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Cherry Laurel,0
Ivy 3 Control,Deciduous,Flat area. Large tree stump in middle of plot. Many fallen tree branches.,Mosses,25
Ivy 4,Deciduous,"Slight slope, elevated North.",English Holly,0
Ivy 4,Deciduous,"Slight slope, elevated North.",English Ivy,90
Ivy 4,Deciduous,"Slight slope, elevated North.",Trailing Blackberry,5
Ivy 4,Deciduous,"Slight slope, elevated North.",Spiny Wood Fern,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Salal,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Wall Lettuce,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Sword Fern,25
Ivy 4,Deciduous,"Slight slope, elevated North.",Deer Fern,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Huckleberry,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Species 2,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Sugar-scoop,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Salmon Berry,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Alderberry,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Herb Robert,1
Ivy 4,Deciduous,"Slight slope, elevated North.",Large-leaved avens,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Creeping buttercup,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Oregon grape,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Common snowberry,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Tall Fescue,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Cherry Laurel,0
Ivy 4,Deciduous,"Slight slope, elevated North.",Mosses,3
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",English Holly,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",English Ivy,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Trailing Blackberry,40
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Spiny Wood Fern,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Salal,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Wall Lettuce,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Sword Fern,40
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Deer Fern,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Huckleberry,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Species 2,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Sugar-scoop,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Salmon Berry,15
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Alderberry,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Herb Robert,5
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Large-leaved avens,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Creeping buttercup,0
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Oregon grape,10
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Common snowberry,5
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Tall Fescue,2
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Cherry Laurel,7
Ivy 4 Control,Deciduous,"Gradual slop, higher South.",Mosses,20
